Ranking;Country;Regional indicator;Happiness score;GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
74;Croatia;Central and Eastern Europe;5,488;9,69673;0,51391;73;0,3929;0,22489;0,07922
87;Bosnia and Herzegovina;Central and Eastern Europe;5,163;9,77892;0,54398;73;0,15631;0,36463;0
25;Panama;Latin America and Caribbean;6,701;9,96471;0,83593;73;0,80409;0,29498;0,16672
21;Mexico;Latin America and Caribbean;6,778;9,97271;0,60393;73;0,61972;0,14317;0,36331
36;Qatar;Middle East and North Africa;6,375;10;0,7434;73;0,93147;0,39511;0,95108
29;Uruguay;Latin America and Caribbean;6,545;9,98467;0,87168;73;0,89382;0,22027;0,42346
28;United Arab Emirates;Middle East and North Africa;6,573;9,96966;0,73622;74;0,92385;0,32439;0,70389
109;Albania;Central and Eastern Europe;4,655;9,77705;0,42394;74;0,5237;0,20543;0,10493
83;China;East Asia;5,245;9,99912;0,67087;74;0,72331;0,06049;0,05434
14;Costa Rica;Latin America and Caribbean;7,087;9,9324;0,86331;75;0,90759;0,27513;0,20876
93;Lebanon;Middle East and North Africa;5,129;9,98855;0,54243;75;0,43104;0,28904;0,06058
27;Czech Republic;Western Europe;6,596;9,97896;0,85183;75;0,68067;0,12112;0,07889
15;Puerto Rico;Latin America and Caribbean;7,039;9,99959;0,91369;75;0,76951;0,27085;0,24297
13;United States;North America and ANZ;7,104;9,97785;0,88553;75;0,79153;0,50111;0,2943
63;Slovenia;Western Europe;5,768;9,92202;0,89256;76;0,87371;0,31399;0,07195
94;Portugal;Western Europe;5,123;9,966;0,79752;76;0,73505;0,14262;0,0301
1;Denmark;Western Europe;7,526;9,97766;0,98351;76;0,95223;0,44126;0,8799
35;Taiwan;East Asia;6,379;9,95173;0,78279;76;0,5321;0,31103;0,13124
4;Norway;Western Europe;7,498;9,70015;0,95237;76;0,97963;0,46229;0,70814
99;Greece;Western Europe;5,033;9,97503;0,63784;76;0,09568;0;0,08169
30;Malta;Western Europe;6,488;9,98752;0,92861;76;0,90379;0,68605;0,34747
12;Austria;Western Europe;7,119;9,98799;0,91597;77;0,89329;0,40093;0,42257
23;United Kingdom;Western Europe;6,725;9,97265;0,91841;77;0,82231;0,61188;0,54233
5;Finland;Western Europe;7,413;9,83367;0,95891;77;0,93846;0,31099;0,81162
7;Netherlands;Western Europe;7,339;9,84579;0,86974;77;0,90736;0,57844;0,59237
19;Ireland;Western Europe;6,907;9,94988;0,98167;77;0,88759;0,54852;0,58894
16;Germany;Western Europe;6,994;9,97881;0,92772;77;0,87868;0,3715;0,56513
24;Chile;Latin America and Caribbean;6,705;9,98816;0,76557;77;0,62104;0,38544;0,22665
18;Belgium;Western Europe;6,929;9,98917;0,88948;77;0,84396;0,29571;0,51954
6;Canada;North America and ANZ;7,404;9,99918;0,92634;77;0,94284;0,54695;0,62012
8;New Zealand;North America and ANZ;7,334;9,82821;0,99115;78;0,95561;0,60266;0,82945
10;Sweden;Western Europe;7,291;9,89265;0,91919;78;0,95678;0,46667;0,80891
32;France;Western Europe;6,478;9,979;0,84942;78;0,76521;0,14835;0,35249
62;North Cyprus;Western Europe;5,771;9,93374;0,69153;78;0,71647;0,32111;0,32815
20;Luxembourg;Western Europe;6,871;9,15144;0,87892;78;0,90176;0,33635;0,6993
69;Cyprus;Western Europe;5,546;9,93412;0,59748;78;0,48492;0,34044;0,10348
11;Israel;Middle East and North Africa;7,267;9,95569;0,84121;78;0,59874;0,39389;0,17276
50;Italy;Western Europe;5,977;9,95971;0,88034;78;0,3094;0,20353;0,05059
9;Australia;North America and ANZ;7,313;9,97098;0,93365;78;0,93407;0,57834;0,63995
2;Switzerland;Western Europe;7,509;9,64149;0,96787;79;0,96235;0,34259;0,81557
3;Iceland;Western Europe;7,501;9,88557;1;79;0,93058;0,58165;0,29641
37;Spain;Western Europe;6,361;9,88808;0,95452;79;0,61702;0,2155;0,12148
58;South Korea;East Asia;5,835;9,98936;0,61012;80;0,41362;0,22964;0,15272
53;Japan;East Asia;5,921;9,87032;0,89629;81;0,76848;0,12473;0,37579
22;Singapore;East Asia;6,739;9,62602;0,73321;82;0,8015;0,399;0,93005
75;Hong Kong;East Asia;5,458;9,86699;0,73543;82;0,79014;0,48916;0,62641
