Ranking;Country;Regional indicator;Ladder score;GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
1;Finland;Western Europe;7,7407;8,61498;0,97268;76;0,99532;0,35347;0,94966
27;France;Western Europe;6,609;8,49487;0,83395;77;0,75269;0,28013;0,48839
93;Gabon;Sub-Saharan Africa;5,1063;6,55653;0,64189;66;0,59747;0,11297;0,17365
109;Gambia;Sub-Saharan Africa;4,4849;3,50522;0,42303;65;0,53119;0,80918;0,08311
89;Georgia;Commonwealth of Independent States;5,1847;6,85312;0,61243;71;0,78743;0;0,30305
24;Germany;Western Europe;6,7185;8,74242;0,85967;76;0,81064;0,43453;0,63956
117;Ghana;Sub-Saharan Africa;4,2894;5,0292;0,46219;66;0,72188;0,45589;0,04822
63;Greece;Middle East and North Africa;5,9336;7,86686;0,7894;76;0,39053;0,04532;0,16097
42;Guatemala;Latin America and Caribbean;6,287;5,88421;0,72309;69;0,85171;0,2628;0,13523
95;Guinea;Sub-Saharan Africa;5,0233;3,88022;0,38454;62;0,60381;0,52419;0,18683
61;Honduras;Latin America and Caribbean;5,9684;5,09547;0,64055;70;0,83384;0,43745;0,14046
85;Hong Kong;East Asia;5,3164;8,91705;0,73273;81;0,56144;0,36619;0,69833
56;Hungary;Central and Eastern Europe;6,0169;8,04511;0,94537;73;0,67289;0,30601;0,11669
3;Iceland;Western Europe;7,5251;8,78627;1;77;0,94808;0,64455;0,31728
123;India;South Asia;4,0541;5,44809;0,40375;68;0,88795;0,43393;0,21217
79;Indonesia;Southeast Asia;5,5683;6,36058;0,7326;69;0,90283;0,99602;0,09513
98;Iran;Middle East and North Africa;4,9228;6,70486;0,70286;72;0,42336;0,58641;0,21464
90;Iraq;Middle East and North Africa;5,166;5,83364;0,6161;70;0,49173;0,35251;0,08315
17;Ireland;Western Europe;6,838;9,94539;0,85979;76;0,87756;0,51196;0,72707
5;Israel;Middle East and North Africa;7,3411;8,42288;0,93583;78;0,74301;0,38224;0,33528
41;Italy;Western Europe;6,3235;8,40988;0,82166;77;0,5942;0,27972;0,12791
94;Ivory Coast;Sub-Saharan Africa;5,0801;5,04612;0,35733;64;0,63354;0,30062;0,28528
66;Jamaica;Latin America and Caribbean;5,8417;5,98077;0,81892;72;0,74933;0,22265;0,0488
51;Japan;East Asia;6,0598;8,34247;0,83783;79;0,73149;0,05678;0,38154
122;Jordan;Middle East and North Africa;4,1858;5,89711;0,60807;73;0,68713;0,14801;0,32942
49;Kazakhstan;Commonwealth of Independent States;6,1875;7,57991;0,9011;72;0,84855;0,3719;0,20823
111;Kenya;Sub-Saharan Africa;4,4696;4,84339;0,55387;66;0,60069;0,70235;0,11927
29;Kosovo;Central and Eastern Europe;6,561;6,37339;0,78985;73;0,85638;0,63328;0,1263
13;Kuwait;Middle East and North Africa;6,9514;8,61974;0,84357;75;0,95743;0,49779;0,29849
74;Kyrgyzstan;Commonwealth of Independent States;5,7135;4,92532;0,91364;73;0,96634;0,56189;0,05191
92;Laos;East Asia;5,1389;5,64568;0,52353;68;0,92255;0,42301;0,28958
46;Latvia;Western Europe;6,2345;7,94337;0,93316;72;0,77177;0,31732;0,13639
139;Lebanon;Middle East and North Africa;2,7065;6,43174;0,35676;72;0,20065;0,16876;0,05003
138;Lesotho;Sub-Saharan Africa;3,1862;3,60103;0,52618;55;0,60601;0,2048;0,14774
118;Liberia;Sub-Saharan Africa;4,2686;2,89078;0,41648;64;0,63225;0,44368;0,12954
65;Libya;Middle East and North Africa;5,8663;7,12751;0,68047;72;0,68538;0,27718;0,35397
19;Lithuania;Western Europe;6,8175;8,24885;0,8992;73;0,61701;0,10937;0,20143
8;Luxembourg;Western Europe;7,1219;10;0,83799;77;0,92805;0,36347;0,75188
120;Madagascar;Sub-Saharan Africa;4,2279;2,93343;0,50942;65;0,29013;0,4302;0,21427
133;Malawi;Sub-Saharan Africa;3,421;2,88206;0,25386;66;0,66127;0,33636;0,23615
59;Malaysia;Southeast Asia;5,9752;7,68912;0,70737;71;0,95971;0,56377;0,207
119;Mali;Sub-Saharan Africa;4,232;3,49171;0,42555;63;0,67842;0,30029;0,1558
40;Malta;Western Europe;6,3458;8,535;0,89302;77;0,8421;0,62382;0,21683
108;Mauritania;Middle East and North Africa;4,5051;5,03457;0,43589;67;0,39683;0,33064;0,34511
69;Mauritius;Sub-Saharan Africa;5,8164;7,33663;0,83994;70;0,74224;0,30632;0,20477
25;Mexico;Latin America and Caribbean;6,678;7,10455;0,76782;72;0,83642;0,21428;0,22021
70;Moldova;Central and Eastern Europe;5,8159;6,4721;0,79008;72;0,80485;0,19303;0,07735
76;Mongolia;East Asia;5,6962;6,31951;0,9345;67;0,58008;0,59072;0,0961
75;Montenegro;Central and Eastern Europe;5,707;7,33711;0,81532;73;0,73173;0,27553;0,22978
104;Morocco;Middle East and North Africa;4,7947;5,66892;0,2914;70;0,73101;0,10503;0,14227
88;Mozambique;Sub-Saharan Africa;5,2164;2,6151;0,54628;60;0,84337;0,39334;0,3411
115;Myanmar;Southeast Asia;4,3545;4,56719;0,61126;68;0,52172;1;0,30273
103;Namibia;Sub-Saharan Africa;4,8317;5,91607;0,74978;64;0,5441;0,1714;0,10691
91;Nepal;South Asia;5,1584;4,50995;0,61254;69;0,75627;0,52233;0,19981
6;Netherlands;Western Europe;7,3194;8,87942;0,90444;76;0,83986;0,61715;0,64757
11;New Zealand;North America and ANZ;7,0292;8,45752;0,94458;75;0,86357;0,56406;0,835
43;Nicaragua;Latin America and Caribbean;6,2839;5,1262;0,78144;72;0,91901;0,33206;0,43645
106;Niger;Sub-Saharan Africa;4,5563;2,67622;0,41904;64;0,7118;0,36171;0,25525
100;Nigeria;Sub-Saharan Africa;4,8808;4,86691;0,66531;63;0,65538;0,50252;0,033
83;North Macedonia;Central and Eastern Europe;5,3691;6,8923;0,78971;72;0,6715;0,48347;0,02544
7;Norway;Western Europe;7,3017;9,11908;0,93815;76;0,96762;0,55922;0,84146
105;Pakistan;South Asia;4,6567;4,99198;0,3714;65;0,62774;0,36035;0,12861
39;Panama;Latin America and Caribbean;6,3582;7,95002;0,8611;74;0,83389;0,15643;0,07394
57;Paraguay;Latin America and Caribbean;5,9765;6,53179;0,87101;72;0,91225;0,32787;0,11354
67;Peru;Latin America and Caribbean;5,8409;6,40313;0,72994;75;0,71218;0,19505;0,04996
53;Philippines;Southeast Asia;6,0476;5,75533;0,7089;68;0,95708;0,24622;0,23652
35;Poland;Central and Eastern Europe;6,4415;8,11814;0,8768;74;0,69503;0,20093;0,30482
55;Portugal;Western Europe;6,0296;8,07075;0,84609;76;0,87646;0,1164;0,06145
32;Romania;Central and Eastern Europe;6,4912;7,93747;0,76443;73;0,83;0,10157;0,01098
71;Russia;Commonwealth of Independent States;5,7853;7,67194;0,83586;71;0,63875;0,34384;0,20957
28;Saudi Arabia;Middle East and North Africa;6,5935;8,60725;0,84171;71;0,91172;0,28415;0,32685
97;Senegal;Sub-Saharan Africa;4,9686;4,3324;0,46438;67;0,7028;0,37926;0,11943
37;Serbia;Central and Eastern Europe;6,4108;7,18435;0,86079;73;0,76822;0,49932;0,17498
137;Sierra Leone;Sub-Saharan Africa;3,2452;3,05663;0,35012;63;0,54328;0,45249;0,09268
30;Singapore;Southeast Asia;6,5228;9,89526;0,84207;78;0,86056;0,4199;1
45;Slovakia;Central and Eastern Europe;6,2571;7,96789;0,95284;74;0,65609;0,23964;0,10071
21;Slovenia;Central and Eastern Europe;6,7433;8,3419;0,92928;76;0,91448;0,39295;0,22707
82;South Africa;Sub-Saharan Africa;5,422;6,48958;0,84704;65;0,62153;0,1957;0,05909
52;South Korea;East Asia;6,0579;8,47919;0,72875;78;0,64248;0,31515;0,27461
36;Spain;Western Europe;6,4209;8,25122;0,90975;77;0,71697;0,29647;0,30803
125;Sri Lanka;South Asia;3,8981;6,35814;0,72914;73;0,67536;0,35942;0,05363
4;Sweden;Western Europe;7,3441;8,77425;0,92843;77;0,97097;0,55252;0,91078
9;Switzerland;Western Europe;7,0602;9,20463;0,88148;78;0,87934;0,43239;0,86525
31;Taiwan Province of China;East Asia;6,5035;8,60343;0,83257;75;0,75178;0,17043;0,35184
128;Tanzania;Sub-Saharan Africa;3,7806;3,83149;0,43676;67;0,82153;0,47697;0,44723
58;Thailand;Southeast Asia;5,9761;6,93387;0,83309;74;0,87531;0,7051;0,04204
121;Togo;Sub-Saharan Africa;4,2141;3,54351;0,36257;65;0,52429;0,31606;0,27127
112;Tunisia;Middle East and North Africa;4,4218;6,1034;0,59058;73;0,29414;0,0596;0,03191
96;Turkiye;Middle East and North Africa;4,9753;7,94937;0,72687;74;0,23407;0,16981;0,19955
114;Uganda;Sub-Saharan Africa;4,3717;3,60638;0,71189;66;0,68044;0,44368;0,09423
102;Ukraine;Commonwealth of Independent States;4,873;6,30641;0,81364;71;0,73048;0,71213;0,04414
22;United Arab Emirates;Middle East and North Africa;6,7331;9,26467;0,72003;72;0,94401;0,52127;0,44914
20;United Kingdom;Western Europe;6,749;8,51296;0,82035;75;0,82599;0,66512;0,61091
23;United States;North America and ANZ;6,7248;9,05791;0,86094;72;0,67918;0,55708;0,29412
26;Uruguay;Latin America and Caribbean;6,6115;7,45412;0,8855;73;0,89791;0,26459;0,38336
47;Uzbekistan;Commonwealth of Independent States;6,195;5,66075;0,86264;71;0,96713;0,62743;0,37326
78;Venezuela;Latin America and Caribbean;5,6067;0;0,8174;70;0,5999;0,47969;0,14982
54;Vietnam;Southeast Asia;6,043;6,21579;0,78378;71;0,97594;0,23369;0,27818
130;Yemen;Middle East and North Africa;3,561;3,13606;0,79273;64;0,41974;0,19988;0,19678
131;Zambia;Sub-Saharan Africa;3,5024;4,19978;0,50041;63;0,84216;0,41825;0,19012
135;Zimbabwe;Sub-Saharan Africa;3,3411;3,49606;0,52587;62;0,56401;0,23983;0,22708
